qid,rid,match
Q18556,R750503,0
Q03172,R358695,0
Q14163,R714476,1
Q02657,R876291,0
Q24437,R217202,0
Q29372,R004396,1
Q27601,R002613,1
Q24670,R999324,1
Q12028,R208714,0
Q07421,R560393,0
Q07391,R538975,1
Q27205,R002217,1
Q08727,R168870,0
Q18876,R713910,1
Q05620,R136226,0
Q30434,R005463,1
Q25056,R000057,1
Q28270,R003288,1
Q11140,R581971,1
Q07100,R603418,1
Q27118,R002128,1
Q19432,R680190,1
Q29108,R004130,1
Q22106,R577980,0
Q18440,R093861,0
Q11024,R176637,0
Q03302,R724517,0
Q14861,R164757,1
Q29168,R004190,1
Q04772,R336731,1
Q19960,R613399,1
Q05433,R131393,0
Q29020,R004042,1
Q07517,R126608,0
Q05748,R945861,1
Q18426,R750935,1
Q27495,R002507,1
Q08217,R145236,0
Q16653,R689021,0
Q24462,R701255,0
Q04724,R848722,0
Q02236,R917855,0
Q01225,R264952,0
Q16491,R723486,0
Q18859,R658186,0
Q19885,R671118,1
Q09060,R225321,0
Q28049,R003066,1
Q14538,R365982,0
Q19123,R987050,0
Q26962,R001971,1
Q05398,R875101,0
Q15606,R294719,1
Q27826,R002841,1
Q19505,R744623,0
Q23610,R742297,0
Q06848,R342470,1
Q12563,R278356,0
Q15048,R905765,1
Q04810,R364954,0
Q07948,R758784,1
Q25247,R000250,1
Q07323,R275552,0
Q01131,R256111,1
Q08050,R235176,0
Q29682,R004708,1
Q04269,R619012,0
Q04854,R138948,0
Q05168,R654524,0
Q22404,R968071,0
Q05841,R504199,0
Q25556,R000560,1
Q15898,R920080,0
Q07152,R205798,1
Q26008,R001014,1
Q16582,R461788,0
Q27297,R002309,1
Q15371,R174030,0
Q25881,R000887,1
Q25647,R000651,1
Q15152,R779890,0
Q25107,R000109,1
Q23671,R107688,1
Q30493,R005522,1
Q29333,R004357,1
Q13713,R155538,1
Q25768,R000772,1
Q07954,R362610,1
Q23847,R259635,0
Q29846,R004872,1
Q00202,R944762,0
Q09036,R536586,0
Q26332,R001339,1
Q19144,R530045,0
Q13938,R561250,0
Q08721,R425797,0
Q27707,R002721,1
Q06297,R398342,0
Q02320,R514186,0
Q19708,R133919,0
Q19479,R355965,0
Q27262,R002274,1
Q20750,R772468,0
Q24893,R215036,1
Q05252,R524615,1
Q02932,R126180,0
Q19084,R360039,0
Q14114,R652080,1
Q20932,R704677,0
Q24640,R866275,0
Q28021,R003038,1
Q04923,R245044,0
Q03452,R984428,0
Q26793,R001802,1
Q02038,R838269,0
Q28775,R003795,1
Q02901,R514604,1
Q15826,R175390,0
Q07681,R962468,0
Q27445,R002457,1
Q29069,R004091,1
Q25141,R000143,1
Q25890,R000896,1
Q11135,R402619,1
Q28706,R003725,1
Q06298,R245899,0
Q10585,R445347,0
Q25215,R000218,1
Q29298,R004321,1
Q28411,R003429,1
Q28123,R003140,1
Q30030,R005057,1
Q11285,R541200,1
Q13123,R397263,0
Q15577,R153265,1
Q12564,R803239,0
Q01561,R595142,0
Q20872,R897205,0
Q08719,R360945,1
Q22856,R566163,0
Q17402,R330440,1
Q21176,R832520,1
Q03588,R908970,1
Q21922,R463618,0
Q02250,R134433,1
Q30495,R005524,1
Q13759,R016435,1
Q26249,R001256,1
Q14706,R457175,1
Q30353,R005382,1
Q10504,R695506,1
Q27525,R002537,1
Q25869,R000875,1
Q04049,R276013,0
Q26726,R001734,1
Q22116,R566626,1
Q08165,R139699,0
Q11133,R622110,0
Q25483,R000487,1
Q15839,R303071,0
Q05509,R938179,0
Q16907,R037277,1
Q06671,R607378,1
Q14104,R946177,1
Q16940,R171114,1
Q23702,R714184,0
Q16089,R880665,0
Q03918,R083717,1
Q07605,R506488,0
Q15557,R464932,0
Q01351,R047843,1
Q30645,R005675,1
Q05838,R460664,0
Q14477,R124525,0
Q23217,R239015,0
Q30240,R005268,1
Q23563,R252514,0
Q11943,R202818,0
Q17466,R449474,0
Q06307,R813085,0
Q07065,R820296,1
Q21795,R010049,1
Q21621,R778412,1
Q07816,R190824,0
Q08388,R673666,0
Q07895,R187952,1
Q29633,R004659,1
Q19782,R283381,0
Q29771,R004797,1
Q14565,R246123,0
Q04976,R565721,0
Q19291,R139337,0
Q17564,R735983,1
Q08859,R816652,0
Q06690,R784792,1
Q12168,R566581,0
Q11736,R065086,0
Q26416,R001424,1
Q02646,R846464,0
Q13974,R299173,0
Q17044,R524791,0
Q02549,R452934,1
Q09507,R892531,0
Q14474,R817113,1
Q01524,R040927,0
Q20116,R807686,0
Q24774,R799024,1
Q17795,R450894,0
Q29158,R004180,1
Q20441,R976707,0
Q18222,R858212,0
Q25602,R000606,1
Q25475,R000479,1
Q15060,R904669,0
Q10836,R395733,0
Q23850,R818791,0
Q02767,R588908,0
Q29939,R004966,1
Q05098,R412309,1
Q15632,R136754,0
Q05379,R265402,0
Q11643,R539722,0
Q27317,R002329,1
Q26284,R001291,1
Q11259,R781086,0
Q29506,R004531,1
Q26391,R001399,1
Q23942,R738503,0
Q25657,R000661,1
Q05083,R077379,0
Q07932,R496536,0
Q08580,R146314,0
Q17856,R489053,1
Q16456,R227193,0
Q03384,R675041,0
Q03493,R520289,0
Q09951,R819924,0
Q08251,R189123,1
Q15078,R880342,0
Q27300,R002312,1
Q19173,R602137,0
Q10022,R487901,0
Q02233,R833020,0
Q00978,R532303,1
Q03230,R908734,1
Q25782,R000787,1
Q07629,R332730,1
Q14036,R040288,1
Q24104,R502318,1
Q02455,R658556,1
Q01726,R308423,1
Q10694,R614692,0
Q29490,R004515,1
Q30479,R005508,1
Q24648,R812728,1
Q14281,R870396,0
Q08459,R310608,0
Q12257,R127582,0
Q09308,R820538,0
Q28245,R003263,1
Q16016,R926452,1
Q11842,R000758,0
Q07115,R764436,0
Q19519,R803476,1
Q25629,R000633,1
Q00576,R310928,0
Q08436,R519273,0
Q26655,R001663,1
Q12137,R786584,1
Q00889,R837403,1
Q26342,R001349,1
Q15341,R692088,0
Q21313,R850462,0
Q13258,R483481,1
Q26903,R001912,1
Q20897,R892986,0
Q04340,R368410,0
Q28213,R003231,1
Q09488,R180981,0
Q05754,R428946,0
Q27186,R002198,1
Q12256,R657462,1
Q15724,R373740,0
Q25321,R000324,1
Q19592,R179878,0
Q12249,R717967,0
Q04147,R482200,1
Q14317,R189575,0
Q25179,R000182,1
Q19419,R850750,1
Q19430,R736635,0
Q25229,R000232,1
Q28638,R003657,1
Q18735,R381673,0
Q29984,R005011,1
Q23937,R872504,0
Q26035,R001041,1
Q28242,R003260,1
Q14293,R826671,0
Q14231,R385977,1
Q08185,R547548,0
Q12163,R716253,0
Q07489,R954698,1
Q07736,R750988,0
Q03520,R881253,1
Q10245,R412550,0
Q29783,R004809,1
Q25850,R000856,1
Q15630,R722955,0
Q25195,R000198,1
Q27898,R002913,1
Q25758,R000762,1
Q02664,R903201,1
Q30630,R005660,1
Q09948,R488304,0
Q26329,R001336,1
Q00548,R460771,0
Q25313,R000316,1
Q16408,R938212,1
Q13170,R863254,0
Q24280,R197433,1
Q29413,R004437,1
Q03287,R056721,0
Q09096,R016353,0
Q17790,R729585,1
Q09246,R415751,0
Q00581,R583670,0
Q11383,R781740,0
Q07937,R744116,1
Q25696,R000700,1
Q00164,R050617,0
Q12268,R293376,1
Q26627,R001635,1
Q17503,R958544,0
Q16666,R206910,0
Q13917,R490474,0
Q04218,R059194,0
Q30494,R005523,1
Q27532,R002544,1
Q05659,R876516,1
Q03546,R362035,1
Q28152,R003170,1
Q08034,R822319,0
Q01474,R502957,1
Q25084,R000086,1
Q12261,R577884,0
Q09495,R472600,0
Q02462,R821135,0
Q24468,R062616,0
Q21033,R254096,1
Q27527,R002539,1
Q25191,R000194,1
Q17967,R980687,0
Q05157,R637632,0
Q00827,R971491,0
Q29825,R004851,1
Q09423,R925599,0
Q03650,R224822,1
Q01505,R292324,0
Q25071,R000072,1
Q29077,R004099,1
Q14563,R704250,0
Q21210,R242153,0
Q19168,R431505,0
Q11531,R744765,1
Q15276,R805981,0
Q29955,R004982,1
Q20841,R260178,0
Q12626,R230442,1
Q04644,R180200,0
Q11006,R780608,1
Q26358,R001366,1
Q15752,R382131,0
Q20084,R706446,0
Q01116,R191626,0
Q16888,R609731,0
Q10140,R557153,0
Q26093,R001100,1
Q10342,R701943,1
Q13794,R879143,0
Q19185,R277927,0
Q24942,R146384,0
Q20354,R121457,1
Q22730,R851864,0
Q08643,R229342,1
Q04749,R922018,1
Q11596,R956504,0
Q19275,R189509,1
Q15320,R274899,1
Q00259,R831896,1
Q10090,R693712,0
Q01398,R858955,0
Q18878,R083599,0
Q10285,R914185,0
Q28545,R003564,1
Q00962,R170231,1
Q30033,R005060,1
Q01980,R080726,1
Q05030,R989880,0
Q02340,R842124,0
Q24987,R291686,1
Q02239,R875334,0
Q26756,R001765,1
Q09597,R571832,0
Q09478,R753010,1
Q26902,R001911,1
Q30391,R005420,1
Q08387,R731164,0
Q26799,R001808,1
Q25230,R000233,1
Q13247,R165778,1
Q09578,R833431,1
Q00266,R351509,0
Q13854,R069691,0
Q06216,R985170,0
Q28491,R003510,1
Q09368,R703382,0
Q13393,R255988,1
Q16236,R279560,0
Q13631,R818112,0
Q27990,R003007,1
Q18439,R163047,0
Q19037,R580236,1
Q13597,R104921,0
Q18341,R753346,0
Q20231,R457102,0
Q26482,R001490,1
Q01404,R791047,0
Q27051,R002060,1
Q21987,R259400,0
Q13044,R429846,0
Q29934,R004961,1
Q27077,R002086,1
Q02028,R087598,0
Q00974,R885652,0
Q14671,R324073,0
Q02023,R680357,1
Q24332,R264548,1
Q17732,R347997,1
Q04143,R733197,1
Q15626,R873022,0
Q04176,R098777,1
Q22367,R285187,0
Q20784,R719959,0
Q10513,R493330,0
Q25586,R000590,1
Q15828,R114003,0
Q06872,R095602,0
Q07081,R017658,0
Q01971,R665980,0
Q24913,R225312,0
Q13825,R763220,1
Q15556,R662348,0
Q21661,R288747,0
Q05703,R591221,1
Q10555,R180196,1
Q23824,R019945,0
Q26593,R001601,1
Q27140,R002151,1
Q02812,R004230,0
Q12083,R652187,0
Q24972,R277580,1
Q05439,R200777,0
Q26141,R001148,1
Q06868,R635976,1
Q15219,R948574,1
Q14574,R479406,0
Q24730,R865672,0
Q30283,R005311,1
Q27598,R002610,1
Q19786,R336112,0
Q18625,R006456,0
Q26836,R001845,1
Q11839,R938068,0
Q16171,R868237,0
Q11301,R421472,0
Q26734,R001742,1
Q25113,R000115,1
Q28749,R003769,1
Q21290,R236520,0
Q27581,R002593,1
Q05727,R430690,0
Q07990,R918709,0
Q21238,R580480,1
Q19441,R330956,1
Q25012,R000012,1
Q00747,R570124,0
Q26155,R001162,1
Q06021,R036637,1
Q22556,R640149,0
Q05213,R761296,0
Q15676,R731524,0
Q20080,R759048,0
Q14850,R566182,0
Q06516,R825208,0
Q30554,R005584,1
Q09417,R065857,0
Q13661,R966781,1
Q02152,R234027,1
Q16234,R592618,0
Q01435,R664794,0
Q00196,R212231,0
Q02845,R219984,0
Q05796,R775031,1
Q24609,R806060,1
Q27973,R002990,1
Q00503,R418107,0
Q01405,R899442,0
Q01877,R256668,0
Q09606,R345171,0
Q04596,R560794,1
Q27728,R002742,1
Q06975,R325555,1
Q18629,R947598,0
Q00989,R046998,0
Q12576,R763747,0
Q02275,R030372,1
Q12577,R245084,1
Q21866,R307772,0
Q15959,R890690,0
Q10903,R019757,0
Q20133,R283474,0
Q09295,R696370,0
Q20950,R469808,1
Q24045,R752840,0
Q26679,R001687,1
Q00846,R033260,1
Q20654,R128696,1
Q26955,R001964,1
Q05793,R647065,0
Q06074,R830378,0
Q22329,R903387,0
Q25676,R000680,1
Q03215,R199983,1
Q20075,R726381,1
Q07126,R086999,0
Q29840,R004866,1
Q03834,R580972,1
Q20122,R631809,1
Q08761,R308885,0
Q09638,R421684,1
Q16626,R201856,1
Q16013,R494310,1
Q04164,R402272,0
Q06388,R537710,0
Q22580,R176144,0
Q28144,R003162,1
Q13678,R680930,1
Q26002,R001008,1
Q29186,R004208,1
Q02837,R020694,0
Q23088,R725975,1
Q29911,R004938,1
Q22003,R204315,0
Q20156,R230947,0
Q13717,R976066,0
Q08685,R255660,0
Q25955,R000961,1
Q16526,R230462,1
Q05291,R243679,1
Q20163,R476846,1
Q22336,R816158,0
Q02364,R242384,1
Q23423,R826774,0
Q16279,R666423,0
Q25511,R000515,1
Q22239,R131851,0
Q22136,R644206,1
Q28039,R003056,1
Q07216,R878657,0
Q30273,R005301,1
Q13378,R442125,0
Q20738,R369771,1
Q22578,R590713,0
Q00375,R828267,1
Q00677,R764195,0
Q00716,R346147,0
Q17002,R212437,0
Q05244,R827328,0
Q30032,R005059,1
Q12684,R113430,0
Q25405,R000409,1
Q28991,R004013,1
Q28014,R003031,1
Q27980,R002997,1
Q03953,R248654,0
Q02060,R209077,0
Q30099,R005127,1
Q12685,R968015,0
Q06894,R291100,1
Q08065,R205137,0
Q17569,R167624,0
Q26263,R001270,1
Q08885,R051823,0
Q26023,R001029,1
Q29003,R004025,1
Q26190,R001197,1
Q25052,R000053,1
Q19257,R271183,1
Q14773,R581379,0
Q24090,R968165,0
Q14223,R460065,0
Q03737,R080921,1
Q20490,R514740,0
Q12640,R949933,0
Q19758,R450595,0
Q07568,R690582,0
Q16221,R742360,1
Q00534,R317001,0
Q02321,R148553,0
Q10365,R975737,0
Q04947,R930374,1
Q10602,R668455,0
Q18360,R859039,0
Q06062,R312482,1
Q13164,R969454,0
Q15564,R901170,0
Q08138,R416461,0
Q20269,R842371,0
Q28006,R003023,1
Q07040,R367938,1
Q14064,R120347,0
Q21903,R361308,0
Q04094,R624675,0
Q30318,R005347,1
Q17354,R196065,1
Q00896,R931949,0
Q15450,R020084,0
Q27368,R002380,1
Q27599,R002611,1
Q19811,R775662,1
Q02290,R812985,0
Q23412,R982209,1
Q06020,R071116,1
Q19775,R376913,0
Q24395,R150218,0
Q30452,R005481,1
Q15687,R280424,0
Q07504,R860036,0
Q28519,R003538,1
Q00101,R833359,0
Q12337,R358874,0
Q10484,R930148,0
Q17813,R387072,1
Q00345,R872564,0
Q28825,R003845,1
Q11128,R499011,1
Q26881,R001890,1
Q07300,R170577,0
Q10498,R154140,0
Q29641,R004667,1
Q10298,R442241,0
Q16260,R191927,0
Q16960,R270953,0
Q27632,R002644,1
Q16014,R991120,1
Q21967,R762869,0
Q29765,R004791,1
Q30185,R005213,1
Q29373,R004397,1
Q25889,R000895,1
Q21797,R438201,0
Q28200,R003218,1
Q09937,R990390,1
Q06375,R508179,0
Q17160,R533501,1
Q23385,R928212,0
Q07234,R599333,0
Q06907,R233719,0
Q27181,R002193,1
Q18356,R749015,1
Q28374,R003392,1
Q02874,R426400,0
Q22139,R418957,0
Q30312,R005341,1
Q08069,R741421,0
Q25784,R000789,1
Q09498,R170060,0
Q23846,R111023,0
Q27706,R002720,1
Q07295,R224876,0
Q07219,R055525,0
Q17298,R327129,0
Q03357,R662395,1
Q10597,R824687,1
Q23718,R361727,0
Q00634,R310367,0
Q15264,R472006,0
Q16944,R333984,1
Q03430,R642360,0
Q11593,R768306,0
Q30474,R005503,1
Q21827,R160718,1
Q25250,R000253,1
Q08731,R010572,0
Q01370,R192507,0
Q25660,R000664,1
Q26339,R001346,1
Q00407,R978891,0
Q11533,R322211,1
Q28780,R003800,1
Q21078,R483299,1
Q24296,R849225,1
Q07963,R066740,0
Q04427,R051362,1
Q10887,R400459,0
Q19959,R892151,0
Q27054,R002063,1
Q03538,R885269,0
Q28306,R003324,1
Q27883,R002898,1
Q20361,R012885,0
Q14486,R821597,0
Q22306,R835723,0
Q10226,R410202,0
Q24380,R403729,0
Q16758,R640747,0
Q15016,R825578,0
Q22970,R918058,0
Q27836,R002851,1
Q13203,R540920,1
Q12629,R030212,0
Q26185,R001192,1
Q23500,R220328,0
Q06263,R306084,0
Q29760,R004786,1
Q09754,R330139,1
Q25408,R000412,1
Q28738,R003758,1
Q17998,R532913,0
Q05824,R188429,0
Q11716,R441752,0
Q25924,R000930,1
Q29241,R004263,1
Q18113,R728174,0
Q04232,R162237,0
Q05409,R703124,1
Q22800,R317860,1
Q18429,R138566,1
Q24068,R589212,0
Q28630,R003649,1
Q15612,R118855,0
Q27089,R002099,1
Q11749,R849449,0
Q28980,R004002,1
Q10514,R061352,0
Q23656,R505383,0
Q09226,R220562,0
Q14252,R590821,0
Q26354,R001362,1
Q30367,R005396,1
Q09249,R778587,0
Q27939,R002955,1
Q22744,R381683,1
Q01716,R745703,1
Q21301,R466200,0
Q20375,R907608,0
Q13568,R364969,1
Q17165,R718548,0
Q10481,R981812,0
Q24397,R247915,0
Q28129,R003147,1
Q14591,R614223,1
Q28719,R003739,1
Q12194,R473089,0
Q21344,R715053,1
Q23534,R104312,1
Q26362,R001370,1
Q14508,R196942,0
Q05311,R877582,0
Q17393,R146644,1
Q22324,R288387,0
Q12642,R907500,1
Q29729,R004755,1
Q29029,R004051,1
Q06640,R105196,1
Q12558,R964409,0
Q00359,R341020,1
Q22759,R148060,1
Q20762,R604973,0
Q20311,R769561,1
Q26129,R001136,1
Q28662,R003681,1
Q10844,R529977,1
Q10390,R859206,1
Q10594,R405882,1
Q25492,R000496,1
Q23181,R965153,0
Q10937,R852616,0
Q07239,R531522,0
Q16899,R129843,1
Q21869,R448577,0
Q20274,R302275,0
Q11904,R660155,0
Q23214,R907757,0
Q12548,R283394,0
Q21191,R052382,0
Q21249,R295300,0
Q03195,R968925,1
Q03925,R337248,1
Q07026,R030769,0
Q03822,R100091,0
Q00489,R807545,1
Q01823,R239599,0
Q25952,R000958,1
Q10740,R177352,0
Q29582,R004607,1
Q07037,R374412,0
Q16917,R474404,0
Q10251,R365350,0
Q00574,R259180,1
Q27539,R002551,1
Q24784,R872276,0
Q15620,R399564,0
Q29240,R004262,1
Q30009,R005036,1
Q13889,R845336,0
Q06096,R322983,0
Q24520,R737456,0
Q06651,R937006,1
Q20278,R211114,0
Q02328,R215734,0
Q17929,R877812,1
Q23875,R939804,1
Q30627,R005657,1
Q03880,R133384,0
Q26883,R001892,1
Q06285,R901157,1
Q20739,R823687,0
Q21495,R847356,0
Q27390,R002402,1
Q10815,R633961,0
Q26201,R001208,1
Q16117,R931609,1
Q24152,R181602,1
Q13660,R520459,0
Q22700,R651584,0
Q28431,R003449,1
Q17610,R543867,0
Q18564,R836713,1
Q18562,R377408,0
Q13265,R873468,0
Q22267,R516522,1
Q29038,R004060,1
Q13100,R466797,0
Q29000,R004022,1
Q14292,R640055,1
Q19558,R897747,1
Q08716,R779190,0
Q25123,R000125,1
Q18189,R157998,0
Q27713,R002727,1
Q18089,R426423,1
Q20756,R214338,0
Q11300,R680870,1
Q03482,R932940,0
Q29827,R004853,1
Q01946,R054458,0
Q30119,R005147,1
Q02244,R705802,0
Q20061,R368932,0
Q08978,R712474,0
Q18634,R080269,0
Q22535,R394640,0
Q13255,R084732,0
Q24531,R128185,0
Q19603,R038333,0
Q27208,R002220,1
Q12303,R264717,0
Q00748,R007851,1
Q16914,R027496,1
Q27949,R002966,1
Q06621,R036176,0
Q20554,R422534,0
Q07186,R241832,1
Q00628,R506989,0
Q09591,R312760,1
Q12526,R253807,0
Q09722,R856648,0
Q08965,R093702,1
Q26200,R001207,1
Q25206,R000209,1
Q07729,R724730,1
Q12324,R420632,0
Q03930,R928512,1
Q15233,R680796,1
Q06153,R232779,0
Q09342,R617104,0
Q18725,R707672,1
Q21800,R651584,0
Q08809,R335684,1
Q00510,R201784,1
Q23381,R499519,0
Q28348,R003366,1
Q27351,R002363,1
Q06948,R502389,0
Q14721,R981126,0
Q06150,R580417,1
Q15685,R424768,0
Q26040,R001046,1
Q27974,R002991,1
Q04465,R464955,1
Q28626,R003645,1
Q29128,R004150,1
Q03680,R567568,0
Q18011,R240589,0
Q02683,R321294,0
Q21480,R122557,1
Q03326,R413213,1
Q30612,R005642,1
Q24065,R090309,0
Q03371,R260780,0
Q09000,R529250,0
Q06596,R701886,1
Q19081,R462038,1
Q28447,R003465,1
Q22402,R612080,0
Q26181,R001188,1
Q24799,R856720,0
Q11555,R692647,0
Q01679,R973617,1
Q26255,R001262,1
Q13926,R646784,1
Q20100,R319846,1
Q13235,R216556,0
Q25239,R000242,1
Q03810,R412370,0
Q08799,R413627,0
Q13039,R660300,0
Q00337,R161763,0
Q13734,R469154,1
Q02221,R747041,0
Q30104,R005132,1
Q16046,R720926,0
Q24135,R514838,0
Q06886,R455101,0
Q09473,R789904,0
Q05212,R106016,0
Q17030,R054250,1
Q00901,R561573,1
Q22667,R133761,0
Q14366,R321960,1
Q21828,R029787,1
Q14596,R211944,0
Q26673,R001681,1
Q00593,R641700,0
Q09774,R190176,0
Q14936,R077803,1
Q00531,R816253,1
Q03031,R012421,0
Q23008,R265900,0
Q05539,R691815,0
Q06500,R518726,1
Q15919,R467796,1
Q27382,R002394,1
Q25860,R000866,1
Q11752,R513936,0
Q28391,R003409,1
Q00912,R544288,1
Q28731,R003751,1
Q04436,R416636,0
Q28836,R003856,1
Q05477,R576974,0
Q30583,R005613,1
Q20283,R881621,0
Q25792,R000797,1
Q20245,R874045,1
Q28181,R003199,1
Q30064,R005092,1
Q22880,R106040,0
Q04892,R813094,0
Q24041,R143398,1
Q27727,R002741,1
Q08140,R678457,1
Q30635,R005665,1
Q26472,R001480,1
Q20300,R460137,0
Q15840,R671965,0
Q11493,R483507,1
Q17367,R711097,0
Q12671,R754925,0
Q30284,R005312,1
Q26290,R001297,1
Q01570,R753614,0
Q25384,R000387,1
Q21960,R791022,1
Q11523,R336822,0
Q28044,R003061,1
Q15681,R193172,0
Q30190,R005218,1
Q29237,R004259,1
Q10902,R008135,0
Q10195,R688141,1
Q14141,R248344,0
Q22729,R593172,0
Q21834,R264678,0
Q19210,R477721,0
Q25695,R000699,1
Q26254,R001261,1
Q27200,R002212,1
Q17845,R639049,0
Q17279,R317004,0
Q01637,R222987,0
Q19014,R213685,1
Q10736,R276833,1
Q04226,R779116,0
Q02211,R478723,0
Q21867,R326141,1
Q16522,R695748,0
Q19018,R785668,0
Q05023,R322607,1
Q23491,R728068,1
Q28715,R003734,1
Q02471,R327811,1
Q28414,R003432,1
Q04005,R133522,0
Q09561,R411398,0
Q12118,R729761,0
Q23672,R947193,0
Q29487,R004512,1
Q05690,R528799,0
Q19688,R282143,0
Q07595,R042961,0
Q08488,R030393,1
